編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLSKKHOFFAH58CA,3,157.28,見其他登記事項,鋼筋混凝土造,104年9月9日,十四層,六層
RPQOMLSKKHOFFAH58CA,3,157.28,見其他登記事項,鋼筋混凝土造,104年9月9日,十四層,六層
RPQOMLSKKHOFFAH58CA,3,282.71,見其他登記事項,鋼筋混凝土造,104年9月9日,十四層,
RPROMLMLKHOFFAH18CA,32,62.16,住家用,鋼筋混凝土造,76年6月20日,八層,地下層
RPWNMLMLKHOFFAH58CA,1,60.06,住家用,鋼筋混凝土造,106年9月29日,二十四層,十一層
RPWNMLMLKHOFFAH58CA,1,29.36,見其他登記事項,鋼筋混凝土造,106年9月29日,二十四層,
RPROMLMLKHOFFHH88CA,16,179.30,見其他登記事項,鋼筋混凝土造,92年5月20日,四層,一層 二層 三層 四層 屋頂突出物
RPROMLMLKHOFFHH88CA,16,3.91,共有部份,鋼筋混凝土造,92年5月20日,二層,
RPWPMLPLKHOFFAH09CA,26,107.14,住家用,鋼筋混凝土造,81年11月11日,十六層,十一層
RPWPMLPLKHOFFAH09CA,26,23.71,共有部份,鋼筋混凝土造,81年11月11日,十六層,
RPWPMLPLKHOFFAH09CA,26,53.61,見其他登記事項,鋼筋混凝土造,81年11月11日,十六層,地下三層
RPQOMLRLKHOFFAH58CA,1,61.32,見其他登記事項,鋼筋混凝土造,106年11月6日,十四層,一層 夾層
RPQOMLRLKHOFFAH58CA,1,60.36,見其他登記事項,鋼筋混凝土造,106年11月6日,十四層,
RPOOMLPLKHOFFAH18CA,1,90.44,住家用,鋼筋混凝土造,107年6月27日,十二層,三層
RPOOMLPLKHOFFAH18CA,1,79.07,見其他登記事項,鋼筋混凝土造,107年6月27日,十二層,
RPRQMLLKKHOFFBH28CA,7,118.47,見其他登記事項,鋼筋混凝土造,100年12月21日,九層,八層
RPRQMLLKKHOFFBH28CA,7,27.76,見其他登記事項,鋼筋混凝土造,100年12月21日,九層,
RPRQMLLKKHOFFBH28CA,7,34.91,見其他登記事項,鋼筋混凝土造,100年12月21日,九層,
RPRQMLLKKHOFFBH28CA,7,.07,見其他登記事項,鋼筋混凝土造,100年12月21日,九層,一層
RPRQMLLKKHOFFBH28CA,7,36.44,見其他登記事項,鋼筋混凝土造,100年12月21日,九層,
RPVNMLPKKHOFFBH78CA,6,85.60,見其他登記事項,鋼筋混凝土造,101年8月27日,十二層,六層
RPVNMLPKKHOFFBH78CA,6,19.26,見其他登記事項,鋼筋混凝土造,101年8月27日,十二層,
RPVNMLPKKHOFFBH78CA,6,47.55,見其他登記事項,鋼筋混凝土造,101年8月27日,十二層,
RPSRMLQLKHOFFBH09CA,23,92.11,住家用,鋼筋混凝土造,84年6月24日,五層,三層
RPSRMLQLKHOFFBH09CA,23,5.57,共有部分,鋼筋混凝土造,84年6月24日,五層,
RPPNMLTKKHOFFBH58CA,15,18.94,住家用,鋼筋混凝土造,93年4月10日,十層,四層
RPPNMLTKKHOFFBH58CA,15,6.52,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPPNMLTKKHOFFBH58CA,15,.61,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPPNMLTKKHOFFBH58CA,15,2.33,共有部分,鋼筋混凝土造,93年4月10日,十層,
RPQNMLTKKHOFFBH68CA,24,89.60,住家用,鋼筋混凝土造,83年8月18日,十四層,四層
RPQNMLTKKHOFFBH68CA,24,7.21,共有部分,鋼筋混凝土造,83年8月18日,十四層,
RPQNMLTKKHOFFBH68CA,24,7.13,共有部分,鋼筋混凝土造,83年8月18日,十四層,
RPQNMLTKKHOFFBH68CA,24,18.69,共有部分,鋼筋混凝土造,83年8月18日,十四層,
RPQNMLTKKHOFFBH68CA,24,22.81,共有部分,鋼筋混凝土造,83年8月18日,十四層,
RPQNMLSKKHOFFBH58CA,14,202.06,見其他登記事項,鋼筋混凝土造,94年1月6日,五層,一層 二層 三層 四層 五層
RPWRMLMLKHOFFBH09CA,38,88.28,住家用,加強磚造,70年2月4日,二層,一層 二層
RPWQMLRLKHOFFBH86CA,25,222.66,見其他登記事項,鋼筋混凝土造,83年7月4日,十二層,五層
RPWQMLRLKHOFFBH86CA,25,222.66,見其他登記事項,鋼筋混凝土造,83年7月4日,十二層,五層
RPWQMLRLKHOFFBH86CA,25,26.21,共有部分,鋼筋混凝土造,83年7月4日,十二層,
RPWQMLRLKHOFFBH86CA,25,26.21,共有部分,鋼筋混凝土造,83年7月4日,十二層,
RPWQMLRLKHOFFBH86CA,25,60.25,見其他登記事項,鋼筋混凝土造,83年7月4日,十二層,
RPWQMLRLKHOFFBH86CA,25,60.25,見其他登記事項,鋼筋混凝土造,83年7月4日,十二層,
RPXNMLOJLHOFFBH88CA,7,30.41,見其他登記事項,鋼筋混凝土造,100年11月15日,四層,
RPXNMLOJLHOFFBH88CA,7,9.88,見其他登記事項,鋼筋混凝土造,100年11月15日,七層,
RPXNMLOJLHOFFBH88CA,7,66.40,見其他登記事項,鋼筋混凝土造,100年11月15日,七層,一層
RPPQMLLKKHOFFBH08CA,2,313.31,見其他登記事項,鋼筋混凝土造,106年6月15日,四層,一層 二層 三層 四層 見其他登記事項
RPPQMLLKKHOFFBH08CA,2,.55,見其他登記事項,鋼筋混凝土造,106年6月15日,一層,
RPVNMLOKKHOFFCH78CA,3,507.48,見其他登記事項,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層
RPTNMLMKKHOFFDH48CA,24,114.37,住家用,鋼筋混凝土造,83年9月12日,六層,二層
RPTNMLMKKHOFFDH48CA,24,6.34,共同使用部份,鋼筋混凝土造,83年9月12日,六層,
RPTNMLMKKHOFFDH48CA,24,36.48,共同使用部份,鋼筋混凝土造,83年9月12日,六層,
RPSOMLLKKHOFFDH38CA,14,196.94,見其他登記事項,鋼筋混凝土造,94年6月16日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLQLKHOFFCH58CA,14,91.98,見其他登記事項,鋼筋混凝土造,93年7月30日,十層,二層
RPQNMLQLKHOFFCH58CA,14,7.68,見其他登記事項,鋼筋混凝土造,93年7月30日,十層,
RPQNMLQLKHOFFCH58CA,14,13.99,見其他登記事項,鋼筋混凝土造,93年7月30日,十層,
