編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLKKHOFFFA97CA,35,25.90,共有部分,鋼筋混凝土造,73年6月16日,十二層,
RPWNMLOKKHOFFDA28CA,26,26.03,住家用,鋼筋混凝土造,82年5月6日,五層,五層
RPWNMLOKKHOFFDA28CA,26,6.97,共有部分,鋼筋混凝土造,82年5月6日,五層,
RPWNMLOKKHOFFDA28CA,26,5.60,共有部分,鋼筋混凝土造,82年5月6日,五層,
RPQNMLOKKHOFFDA67CA,1,.07,見其他登記事項,鋼筋混凝土造,107年1月9日,十四層,一層
RPQNMLOKKHOFFDA67CA,1,.02,見其他登記事項,鋼筋混凝土造,107年1月9日,十四層,
RPQNMLOKKHOFFDA67CA,1,.00,見其他登記事項,鋼筋混凝土造,107年1月9日,十四層,
RPQNMLOKKHOFFDA67CA,1,.00,見其他登記事項,鋼筋混凝土造,107年1月9日,十四層,
RPQNMLOKKHOFFDA67CA,1,35.23,見其他登記事項,鋼筋混凝土造,107年1月9日,十四層,
RPUNMLLKKHOFFAA57DA,16,86.26,見其他登記事項,鋼筋混凝土造,92年6月9日,十二層,三層
RPUNMLLKKHOFFAA57DA,16,53.83,共有部分,鋼筋混凝土造,92年6月9日,十二層,
RPVNMLLKKHOFFBA77DA,36,73.30,住家用,鋼筋混凝土造,72年1月26日,五層,五層
RPROMLLJKHOFFBA37DA,45,50.80,商業用,鋼筋混凝土造,63年6月20日,十層,七層
RPROMLLJKHOFFBA37DA,44,11.60,共有部分,鋼筋混凝土造,63年9月18日,十層,
RPTNMLNKKHOFFBA77DA,48,5.81,住家用,鋼筋混凝土造,59年11月30日,五層,四層
RPWNMLMKKHOFFCA08DA,11,67.04,住家用,鋼筋混凝土造,97年3月31日,十四層,十一層
RPWNMLMKKHOFFCA08DA,11,71.56,共有部分,鋼筋混凝土造,97年3月31日,十五層,
RPQOMLSKKHOFFCA18DA,18,79.10,住家用,鋼筋混凝土造,89年6月28日,十二層,十一層
RPQOMLSKKHOFFCA18DA,18,14.27,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPQOMLSKKHOFFCA18DA,18,49.70,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPXOMLLJKHOFFDA18DA,35,56.75,住家用,鋼筋混凝土造,73年1月27日,七層,六層
RPXOMLLJKHOFFDA18DA,35,10.64,共有部分,鋼筋混凝土造,73年1月27日,七層,
RPPPMLLJKHOFFDA47DA,10,86.89,住家用,鋼筋混凝土造,97年12月1日,十二層,十一層
RPPPMLLJKHOFFDA47DA,10,47.60,共有部分,鋼筋混凝土造,97年12月1日,十二層,
RPOPMLLKKHOFFDA47DA,21,30.12,住家用,鋼筋混凝土造,86年8月25日,八層,三層
RPOPMLLKKHOFFDA47DA,21,2.98,共有部分,鋼筋混凝土造,86年8月25日,八層,
RPOPMLLKKHOFFDA47DA,21,4.31,共有部分,鋼筋混凝土造,86年8月25日,八層,
RPQOMLNKKHOFFDA77DA,7,.26,見其他登記事項,鋼筋混凝土造,101年1月19日,十三層,一層
RPQOMLNKKHOFFDA77DA,7,.09,見其他登記事項,鋼筋混凝土造,101年1月19日,十三層,
RPQOMLNKKHOFFDA77DA,7,143.48,住家用,鋼筋混凝土造,101年1月19日,十三層,六層
RPQOMLNKKHOFFDA77DA,7,50.07,見其他登記事項,鋼筋混凝土造,101年1月19日,十三層,
RPQOMLNKKHOFFDA77DA,7,18.37,見其他登記事項,鋼筋混凝土造,101年1月19日,十三層,
RPQOMLNKKHOFFDA77DA,7,71.85,見其他登記事項,鋼筋混凝土造,101年1月19日,十三層,
RPXPMLPLKHOFFDA78CA,10,14.45,停車空間,鋼筋混凝土造,97年10月30日,十三層,地下三層
RPXPMLPLKHOFFDA78CA,10,33.85,共有部分,鋼筋混凝土造,97年10月30日,十三層,
RPPNMLMLKHOFFDA47CA,50,81.72,住家用,加強磚造,57年9月25日,四層,四層
RPRNMLPLKHOFFEA08CA,48,35.60,住家用,鋼筋混凝土造,59年10月8日,五層,二層
RPWNMLRLKHOFFDA68CA,21,93.51,住家用,鋼筋混凝土造,87年4月28日,十三層,七層
RPWNMLRLKHOFFDA68CA,21,71.44,共有部分,鋼筋混凝土造,87年4月28日,十三層,
