文山區,房地(土地+建物),臺北市文山區萬盛街146巷1~30號,36.31,住,,,1071225,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,104.82,5,0,5,有,無,15800000,150735,,0.0,0,依仲介公司提供之資料登錄，含增建或未登記建物。,RPPNMLLKKHOFFAA96CA
文山區,房地(土地+建物),臺北市文山區木柵路二段121~150號,40.33,住,,,1080112,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,磚造,,99.12,3,2,2,有,無,13000000,131154,,0.0,0,,RPRNMLMKKHOFFAA27CA
文山區,房地(土地+建物)+車位,臺北市文山區下崙路28巷1~30號,25.42,住,,,1071225,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840821,89.87,2,2,1,有,有,11600000,129075,升降機械,0.0,0,含增建或未登記建物。;,RPSNMLMKKHOFFAA37CA
文山區,房地(土地+建物),臺北市文山區福興路61~90號,12.01,其他,,,1080106,土地3建物1車位0,五層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841030,88.9,2,2,1,有,有,11660000,131159,,0.0,0,含增建或未登記建物。;,RPTNMLMKKHOFFAA47CA
文山區,房地(土地+建物),臺北市文山區恆光街14巷1~30號,33.12,住,,,1071226,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700130,90.57,2,1,1,有,無,10000000,110412,,0.0,0,,RPXNMLMKKHOFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區忠順街一段48巷5弄1~30號,39.56,住,,,1071223,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870119,189.0,4,2,2,有,有,24800000,131217,坡道平面,42.66,0,含增建或未登記建物。;,RPPOMLMKKHOFFAA17CA
文山區,土地,木柵段四小段301~330地號,388.62,住,,,1071227,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28000000,72050,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPPNMLNKKHOFFAA17CA
中正區,房地(土地+建物),臺北市中正區羅斯福路一段58巷1~30號,38.0,住,,,1080101,土地1建物2車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750519,161.68,6,2,4,有,無,17400000,107620,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLNKKHOFFAA47CA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段181~210號,20.2,商,,,1071216,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.74,0,1,1,有,無,10250000,135331,,0.0,0,,RPSNMLOKKHOFFAA57CA
中正區,房地(土地+建物),臺北市中正區汀州路二段91~120號,13.69,住,,,1071228,土地1建物1車位0,八層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030123,65.67,1,1,1,有,有,14580000,222019,,0.0,0,,RPQOMLMLKHOFFAA37CA
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段181~210號,36.7,住,,,1080114,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991105,190.09,3,2,2,有,有,26300000,138356,坡道平面,0.0,0,,RPTOMLRLKHOFFAA18CA
萬華區,房地(土地+建物),臺北市萬華區成都路151~180號,3.62,商,,,1080107,土地2建物1車位0,十三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960622,48.36,1,1,1,有,有,8200000,169562,,0.0,0,含增建或未登記建物。;,RPQOMLLKKHOFFBA27CA
中正區,房地(土地+建物),臺北市中正區八德路一段43巷1~30號,66.0,其他,,,1071211,土地1建物4車位0,一層,四層,店面(店鋪),住家用,加強磚造,,227.18,0,0,0,無,無,72000000,316929,,0.0,0,,RPVOMLLKKHOFFBA77CA
大同區,房地(土地+建物),臺北市大同區重慶北路三段391~420號,26.89,住,,,1080106,土地1建物1車位0,地下層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0691211,136.4,0,3,2,有,無,17000000,124633,,0.0,0,含增建或未登記建物。;,RPVNMLMKKHOFFBA77CA
大同區,房地(土地+建物),臺北市大同區南京西路151~180號,6.77,商,,,1071207,土地1建物2車位0,七層,十一層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0660822,69.73,2,1,1,有,有,9000000,129069,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLSKKHOFFBA38CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路31~60號,9.25,商,,,1080102,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000422,135.93,3,2,2,有,有,22300000,167068,坡道機械,11.43,1500000,,RPUOMLTKKHOFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區和平西路三段218巷3弄1~30號,37.0,其他,,,1070806,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,94.14,3,1,1,有,無,6150000,65328,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLKLKHOFFBA57CA
中山區,房地(土地+建物),臺北市中山區中山北路二段77巷1~30號,31.33,商,,,1080105,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0661215,156.0,8,2,8,有,無,31250000,200321,,0.0,0,陽台外推本成交資訊係由不動產經紀業提供屬實,RPVOMLLJKHOFFCA77CA
