編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKKHOFFGD18CA,25,54.15,住家用,鋼筋混凝土構造,83年6月6日,五層,三層
RPSNMLLKKHOFFGD18CA,25,10.02,共有部分,鋼筋混凝土構造,83年6月6日,五層,
RPSNMLLKKHOFFED97CA,26,192.32,住家用,鋼筋混凝土構造,82年5月14日,三層,一層 二層 三層 屋頂突出物
RPRNMLSKKHOFFGD78CA,,179.53,住家用,鋼筋混凝土構造,107年8月16日,三層,一層 二層 三層
RPTOMLLLKHOFFGD48CA,6,220.02,住家用,鋼筋混凝土構造,102年5月21日,四層,一層 二層 三層 四層
RPTNMLPKKHOFFHD78CA,2,58.75,見其他登記事項,鋼筋混凝土構造,106年1月11日,八層,二層
RPTNMLPKKHOFFHD78CA,2,5.88,見其他登記事項,鋼筋混凝土構造,106年1月11日,八層,
RPTNMLPKKHOFFHD78CA,2,20.35,見其他登記事項,鋼筋混凝土構造,106年1月11日,八層,
RPTNMLMKKHOFFGD38CA,22,185.87,住家用,鋼筋混凝土構造,85年11月29日,四層,一層 二層 三層 四層
RPOOMLTKKHOFFHD78CA,4,161.22,住家用,鋼筋混凝土構造,104年5月20日,三層,一層 二層 三層 屋頂突出物
RPPOMLOKKHOFFID48CA,7,162.20,工業用,見其他登記事項,100年11月8日,一層,一層
RPRNMLKLKHOFFHD18CA,25,136.62,住家用,鋼筋混凝土構造,82年8月11日,三層,一層 二層 三層 屋頂突出物
RPPOMLNKKHOFFID38CA,25,179.82,住家用,鋼筋混凝土構造,82年11月24日,三層,一層 二層 三層
RPRNMLSKKHOFFKD56CA,1,29.52,住家用,見其他登記事項,107年2月2日,十六層,四層
RPRNMLSKKHOFFKD56CA,1,1.44,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLSKKHOFFKD56CA,1,7.51,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLSKKHOFFKD56CA,1,29.52,住家用,見其他登記事項,107年2月2日,十六層,四層
RPRNMLSKKHOFFKD56CA,1,24.01,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLSKKHOFFKD56CA,1,1.44,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLSKKHOFFKD56CA,1,7.51,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLSKKHOFFKD56CA,1,24.01,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPQNMLPLKHOFFHD58CA,,161.10,住家用,鋼筋混凝土構造,107年9月5日,三層,一層 二層 三層 屋頂突出物
RPWNMLRJLHOFFKD96CA,20,10.02,共有部分,鋼筋混凝土構造,88年5月19日,十四層,
RPWNMLRJLHOFFKD96CA,20,.16,見其他登記事項,鋼筋混凝土構造,88年5月19日,十四層,
RPWNMLRJLHOFFKD96CA,20,78.32,住家用,鋼筋混凝土構造,88年5月19日,十四層,三層
RPWNMLRJLHOFFKD96CA,20,23.85,共有部分,鋼筋混凝土構造,88年5月19日,十四層,
RPWNMLRJLHOFFKD96CA,20,8.70,共有部分,鋼筋混凝土構造,88年5月19日,十四層,
RPSNMLLKKHOFFKD58CA,25,118.74,住家用,鋼筋混凝土構造,83年6月2日,五層,四層 五層 夾層
RPSNMLLKKHOFFKD58CA,25,42.71,共有部分,鋼筋混凝土構造,83年6月2日,五層,
RPWNMLQLKHOFFKD96CA,43,78.63,住家用,加強磚造,64年10月13日,二層,一層 二層
RPQOMLLLKHOFFKD58CA,23,8.25,共有部分,鋼筋混凝土構造,85年4月15日,十二層,
RPQOMLLLKHOFFKD58CA,23,66.41,住家用,鋼筋混凝土構造,85年4月15日,十二層,四層
RPQOMLLLKHOFFKD58CA,23,27.44,共有部分,鋼筋混凝土構造,85年4月15日,十二層,
RPUNMLLKKHOFFKD78CA,6,191.56,見其他登記事項,見其他登記事項,102年2月5日,四層,一層 二層 三層 四層
RPPOMLOKKHOFFKD68CA,4,375.17,見其他登記事項,見其他登記事項,104年1月20日,五層,一層 二層 三層 四層 五層 騎樓
RPWNMLLKKHOFFAD08DA,16,121.67,見其他登記事項,鋼筋混凝土造,91年11月15日,十一層,一層 二層 騎樓
RPWNMLLKKHOFFAD08DA,16,40.79,共有部分,鋼筋混凝土造,91年11月15日,十一層,
RPUOMLPKKHOFFCD58DA,35,85.49,住家用,鋼筋混凝土構造,72年11月18日,五層,一層
RPUOMLPKKHOFFCD58DA,35,10.46,共有部分,鋼筋混凝土構造,72年11月18日,七層,
RPUOMLPKKHOFFCD58DA,35,.05,住家用,鋼筋混凝土構造,73年1月18日,十二層,
RPUOMLPKKHOFFCD58DA,35,.02,共有部分,鋼筋混凝土構造,73年1月18日,十二層,
RPSNMLMKKHOFFBD87DA,37,91.74,見其他登記事項,鋼筋混凝土構造,70年9月7日,四層,三層
RPSNMLMKKHOFFBD87DA,37,3.13,見其他登記事項,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,7.81,共有部分,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.05,見其他登記事項,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.00,共有部分,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.00,共有部分,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.05,見其他登記事項,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.00,共有部分,鋼筋混凝土構造,70年9月7日,四層,
RPSNMLMKKHOFFBD87DA,37,.00,共有部分,鋼筋混凝土構造,70年9月7日,四層,
RPUOMLTKKHOFFBD98EA,36,103.08,住家用,加強磚造,71年12月22日,二層,一層 二層 屋頂突出物
RPSNMLKLKHOFFJD48CA,24,158.95,住商用,見其他登記事項,83年11月26日,三層,一層 二層 三層 騎樓
RPXNMLSKKHOFFCD09DA,36,75.72,住商用,鋼筋混凝土構造,71年10月7日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
