village,transaction_sign,location,landArea,usingMethod,non-metropolis,non-metropolis-use,date,transaction_number,floor,total_floor,state,main_use,materials,complete_years,buildingArea,rooms,halls,healths,compartmenteds,manage,total_price,unit_price,berth_type,berth_area,berth_price,note,serial_number
田尾鄉,土地,民生段631~660地號,2142.0,農,,,1071207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15200000,7096,,0.0,0,本案依土地法第34條之一第一、二、三項規定辦理,RPRNMLPKKHOFFFN76CA
溪州鄉,土地,忠孝段601~630地號,2112.0,農,,,1071229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4646400,2200,,0.0,0,,RPUNMLPLKHOFFFN17CA
芳苑鄉,土地,上林段301~330地號,2533.0,,特定農業區,農牧用地,1080114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3292900,1300,,0.0,0,,RPPNMLLKKHOFFGN88CA
二林鎮,土地,鎮安段1201~1230地號,147.26,,鄉村區,乙種建築用地,1080109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1310000,8896,,0.0,0,,RPRNMLPKKHOFFGN86CA
二林鎮,土地,儒生段571~600地號,137.67,住,,,1080110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4576000,33239,,0.0,0,畸零地或有合併使用之交易。;,RPVNMLPKKHOFFGN27CA
竹塘鄉,土地,永基段481~510地號,4152.57,,特定農業區,農牧用地,1080122,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6250000,1505,,0.0,0,,RPPNMLKLKHOFFGN88CA
芳苑鄉,土地,王功段271~300地號,1353.0,,一般農業區,農牧用地,1071204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1478,,0.0,0,,RPSNMLMLKHOFFGN76CA
芳苑鄉,土地,崙腳段751~780地號,2248.75,,一般農業區,農牧用地,1080116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2923375,1300,,0.0,0,親友、員工或其他特殊關係間之交易。;特殊關係間之交易兄弟間祖產買賣。,RPPNMLQLKHOFFGN86CA
埔鹽鄉,土地,和平段571~600地號,836.0,,特定農業區,農牧用地,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,2632,,0.0,0,,RPQNMLLKKHOFFHN09CA
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉彰水路一段31~60號,115.91,住,,,1071228,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0941221,125.49,4,2,2,有,無,5360000,42713,,0.0,0,,RPRNMLLKKHOFFHN56CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮西環路567巷31~60號,65.0,住,,,1071224,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0661024,107.75,2,1,1,有,無,3150000,29234,,0.0,0,,RPPNMLPKLHOFFHN86CA
和美鎮,房地(土地+建物),彰化縣和美鎮孝廉路31~60號,72.0,住,,,1080103,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840818,150.24,4,3,4,有,無,7700000,51251,,0.0,0,,RPTNMLLKKHOFFBN88DA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮文明街1~30號,86.78,住,,,1080117,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0611027,78.54,4,2,2,有,無,11060000,140820,,0.0,0,,RPRNMLMKKHOFFCN88DA
員林市,土地,地政段601~630地號,51.0,住,,,1080104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,3922,,0.0,0,兄弟關係間之交易。土地受讓人承擔出讓人應負父母親必須的醫療費、看護費、生活費。,RPPNMLLLKHOFFDN78DA
